frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,frame_signal_scores,neareast_neighbour_distances,selections
6.000000000000000000e+00,5.568351191028440184e+01,1.099945293255803058e+01,-2.154618164831765062e-03,6.816046229085662844e+01,2.812965476505878692e-01,2.292014312744140625e+01,0.000000000000000000e+00,9.317229442214168600e+00,1.000000000000000000e+00
6.000000000000000000e+00,3.564542474178175979e+01,1.169623086373093557e+01,-2.568411754650482340e-03,8.140432113879472809e+01,2.319276734937100182e-01,1.971743392944335938e+01,0.000000000000000000e+00,1.490128628031950342e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.182406920648936790e+02,1.489730982816008265e+01,-2.795990193878450120e-03,8.868818633180002564e+01,1.847811198919546705e-01,2.035585784912109375e+01,0.000000000000000000e+00,1.228968062297708386e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.063243897772927227e+01,1.882872024878063399e+01,-3.176227483184209006e-03,1.008580437491038140e+02,2.221392778163658877e-01,1.903645133972167969e+01,0.000000000000000000e+00,9.317229442214168600e+00,1.000000000000000000e+00
7.000000000000000000e+00,6.706444539110925973e+01,2.426981207159629861e+01,-1.603778991733023976e-03,5.053032872684779164e+01,3.957410016448346113e-01,2.108084487915039062e+01,0.000000000000000000e+00,1.730942849991508226e+01,1.000000000000000000e+00
7.000000000000000000e+00,4.038948784953419135e+01,2.582217147091531473e+01,-1.899500151023130563e-03,5.999516672422373631e+01,2.911885390779949123e-01,2.133176231384277344e+01,0.000000000000000000e+00,1.240267744525229254e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.106990195925447296e+02,2.460088783498789766e+01,-3.317839391058633337e-03,1.053904680428144474e+02,1.081417846805673433e-01,2.127942085266113281e+01,0.000000000000000000e+00,1.228968062297708386e+01,1.000000000000000000e+00
1.300000000000000000e+01,9.829334449569661558e+01,2.219809137522191378e+01,-2.206410840056981237e-03,6.981813630253083147e+01,2.796163796087539621e-01,2.168876075744628906e+01,0.000000000000000000e+00,8.781392767566611468e+00,1.000000000000000000e+00
1.300000000000000000e+01,3.088188272706243964e+01,2.462092800045040875e+01,-2.128858804300733185e-03,6.733600936727316366e+01,3.373642024895726621e-01,1.962054252624511719e+01,0.000000000000000000e+00,5.256698254586814834e+00,1.000000000000000000e+00
1.500000000000000000e+01,1.246188350725036997e+02,1.074374848929994286e+01,-2.260756719849640883e-03,7.155752806366544405e+01,3.387049529294311467e-01,1.815246200561523438e+01,0.000000000000000000e+00,1.291278928356858913e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.717119559365382742e+00,2.107550218035112621e+01,-2.430090000174559787e-03,7.697720134537108549e+01,2.660296511683249987e-01,2.017987060546875000e+01,0.000000000000000000e+00,5.613073508096561248e+00,1.000000000000000000e+00
1.400000000000000000e+01,7.010193364883579648e+01,2.959781518248143328e+01,-1.797158456329904291e-03,5.671962309057376928e+01,3.390338270018392608e-01,2.314493370056152344e+01,0.000000000000000000e+00,6.903763231176176518e+00,1.000000000000000000e+00
1.700000000000000000e+01,2.992496351879302452e+01,1.945206137723201678e+01,-3.175224058481199846e-03,1.008259281836185863e+02,1.726211184024669665e-01,1.913430213928222656e+01,0.000000000000000000e+00,5.256698254586814834e+00,1.000000000000000000e+00
1.700000000000000000e+01,1.374132427645823782e+02,2.940968752672510789e+01,-1.956437891882805129e-03,6.181751347298890664e+01,4.041629536786424115e-01,1.944203567504882812e+01,0.000000000000000000e+00,8.284891352391326791e+00,1.000000000000000000e+00
1.600000000000000000e+01,2.207486788383264553e+01,2.396842171436587776e+01,1.621911944100789486e-03,-5.111069117702562181e+01,3.309436543803249142e-01,2.478878402709960938e+01,0.000000000000000000e+00,8.831153656360518411e+00,1.000000000000000000e+00
