frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,frame_signal_scores,neareast_neighbour_distances,selections
6.000000000000000000e+00,8.075762047642589891e+01,7.281861636576882901e+00,-2.590818066948023454e-03,8.212145655285819146e+01,1.591797816532878329e-01,2.348473167419433594e+01,0.000000000000000000e+00,1.323831216516298426e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.288903919102050111e+01,1.050033234993162701e+01,-2.972206764086009114e-03,9.432816587696194688e+01,2.871489406218563634e-01,1.855332183837890625e+01,0.000000000000000000e+00,1.584297527789295046e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.430665850824513541e+02,1.203679539328292591e+01,-3.605162796304418101e-03,1.145865279055377499e+02,1.182296852452014990e-01,2.115200042724609375e+01,0.000000000000000000e+00,1.523029333791050099e+01,1.000000000000000000e+00
7.000000000000000000e+00,7.416040008301897046e+01,2.892881559022560367e+01,-3.422726709842690770e-03,1.087474868055345638e+02,1.453931092539808567e-01,1.869588851928710938e+01,0.000000000000000000e+00,9.120756851517640484e+00,1.000000000000000000e+00
8.000000000000000000e+00,1.420036707487192587e+02,2.722995333618432312e+01,-3.150657005375528865e-03,1.000396361973559465e+02,1.626441188074675415e-01,2.130015182495117188e+01,0.000000000000000000e+00,1.523029333791050099e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.570470752049335061e+01,3.020837094601079897e+01,-2.971280964759878511e-03,9.429853478576461612e+01,1.751860996684336813e-01,1.890339279174804688e+01,0.000000000000000000e+00,1.689401128353422621e+01,1.000000000000000000e+00
8.000000000000000000e+00,6.816868884965694519e+01,1.468747600226294026e+01,-1.330024788250651130e-03,4.176856411967098381e+01,4.445901191506945738e-01,2.322254753112792969e+01,0.000000000000000000e+00,7.419118762134524481e+00,1.000000000000000000e+00
8.000000000000000000e+00,1.096409102211090101e+02,2.153448683014569198e+01,-1.269980083868421086e-03,3.984677603747084618e+01,4.052621636737947508e-01,2.976595687866210938e+01,0.000000000000000000e+00,1.319470679906645216e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.251606535322337521e+02,2.531508640862684700e+01,-2.811339972093727067e-03,8.917947063641997829e+01,1.604815831733844567e-01,2.179381370544433594e+01,0.000000000000000000e+00,1.597358336804904511e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.747089462847704766e+01,2.670563292144395007e+01,-3.773613924537871055e-03,1.199779670674569729e+02,1.486568651012343256e-01,1.860807037353515625e+01,0.000000000000000000e+00,4.532535674181332297e+00,1.000000000000000000e+00
1.100000000000000000e+01,8.295238071357819365e+01,3.135559991034501337e+01,-2.852119086606517279e-03,9.048464512398973625e+01,1.822110763882828222e-01,2.215458869934082031e+01,0.000000000000000000e+00,9.120756851517640484e+00,1.000000000000000000e+00
1.100000000000000000e+01,1.274394759306800466e+02,6.196359677744905703e+00,-3.244866222314787135e-03,1.030548921172577792e+02,1.155690735791942148e-01,1.973514556884765625e+01,0.000000000000000000e+00,9.673998562542132973e+00,1.000000000000000000e+00
