frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,frame_signal_scores,neareast_neighbour_distances,selections
8.000000000000000000e+00,5.916212566823654839e+01,1.311805903641857540e+01,-2.852131814457867839e-03,7.627686136638173764e+01,2.580810814280561916e-01,0.000000000000000000e+00,5.514511458461432980e+00,1.000000000000000000e+00
1.000000000000000000e+01,8.403459531367641944e+01,2.215592028439552408e+01,-3.523227528795744041e-03,9.540068149751192550e+01,2.028781636816763267e-01,0.000000000000000000e+00,1.742326446084244651e+01,1.000000000000000000e+00
1.000000000000000000e+01,4.987293305991367021e+01,2.225613011992139434e+01,-3.928299834882279309e-03,1.069437889204880463e+02,1.623192896442998689e-01,0.000000000000000000e+00,5.831501490316800762e+00,1.000000000000000000e+00
1.100000000000000000e+01,3.553213295190749221e+01,2.394389731410549160e+01,-3.331255368701486422e-03,8.993016368404433081e+01,2.372643822008776437e-01,0.000000000000000000e+00,1.099772465141711209e+01,1.000000000000000000e+00
1.300000000000000000e+01,6.268432445626154959e+01,1.736116548372079293e+01,-2.854925021830261034e-03,7.635645775514917943e+01,3.055580338097171333e-01,0.000000000000000000e+00,5.514511458461432980e+00,1.000000000000000000e+00
1.300000000000000000e+01,1.014564996436396882e+02,2.193821867654075675e+01,-3.176146923715257413e-03,8.551012949315018830e+01,2.425980813671447800e-01,0.000000000000000000e+00,1.742326446084244651e+01,1.000000000000000000e+00
1.300000000000000000e+01,2.699543297934718566e+01,1.701030509312245442e+01,-3.339650325778444149e-03,9.016938984168220372e+01,1.898657260466942720e-01,0.000000000000000000e+00,1.043488914658717803e+01,1.000000000000000000e+00
1.500000000000000000e+01,3.257490439154534556e+01,8.192345563728686386e+00,-3.442069408565747932e-03,9.308796624646849693e+01,1.804227266853636324e-01,0.000000000000000000e+00,1.043488914658717803e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.142867890089718230e+01,1.663598203380928808e+01,-3.886558991478781481e-03,1.057543246394387637e+02,1.843282583215356540e-01,0.000000000000000000e+00,5.831501490316800762e+00,1.000000000000000000e+00
1.600000000000000000e+01,6.215695465478434301e+01,9.733430924693854180e+00,-3.063953668952165699e-03,8.231302425439551484e+01,3.121827544474435889e-01,0.000000000000000000e+00,7.645943591897863101e+00,1.000000000000000000e+00
